id	phenotype
HpGP-MMR-009-Duplicated-1-KVK66-04255	0
HpGP-MMR-010-KVM26-04085	0
HpGP-MMR-011-KVJ86-04310	1
HpGP-MMR-012-Duplicated-1-KVL03-04130	1
HpGP-NGA-006-Duplicated-1-KVM63-01570	0
HpGP-NGA-010-KVJ62-04305	0
HpGP-NGA-017-KVL72-04525	0
HpGP-NGA-019-KVL08-03415	0
HpGP-NPL-003-KVL21-01425	0
HpGP-NPL-004-KVM85-04660	0
HpGP-NPL-007-KVM65-04300	0
HpGP-NPL-008-Duplicated-1-KVL81-04110	0
HpGP-NPL-009-Duplicated-1-KVK10-01440	0
HpGP-NPL-010-KVL22-02720	0
HpGP-NPL-011-KVM61-01595	1
HpGP-NPL-012-KVL90-06265	1
HpGP-NPL-013-KVJ89-04245	1
HpGP-PER-011-E5L34-04210	1
HpGP-PER-013-E5L35-04475	1
HpGP-PER-014-E5L43-04475	1
HpGP-PER-016-Duplicated-1-E5L37-01570	1
HpGP-PER-017-E5L44-01605	1
HpGP-PER-018-E5L38-02135	1
HpGP-PER-019-E5L41-04245	1
HpGP-PER-020-E5L40-04445	1
HpGP-PER-021-E5L39-04520	1
HpGP-PER-102-Duplicated-1-KVL46-01585	0
HpGP-PER-103-KVL86-03080	0
HpGP-PER-104-Duplicated-1-KVJ61-01550	0
HpGP-PER-105-KVL00-01545	0
HpGP-PER-106-KVK43-04310	0
HpGP-PER-107-Duplicated-1-KVM13-01570	0
HpGP-PER-108-KVJ83-01575	0
HpGP-PER-109-KVL17-04365	0
HpGP-PER-110-KVK15-04430	0
HpGP-PER-121-KVL50-02735	1
HpGP-PER-124-KVK73-05420	1
HpGP-PER-136-Duplicated-1-KVK07-01545	1
HpGP-PER-138-KVL58-04625	1
HpGP-PER-140-KVK46-04415	1
HpGP-POL-009-KVM80-01925	0
HpGP-POL-102-Duplicated-1-KVJ97-01650	0
HpGP-POL-103-Duplicated-1-KVL67-01665	0
HpGP-POL-104-Duplicated-1-KVK76-04695	0
HpGP-POL-105-KVM45-05645	0
HpGP-POR-002-FE339-02190	0
HpGP-POR-004-FE341-04405	0
HpGP-POR-005-FE342-04265	0
HpGP-POR-006-FE343-04220	0
HpGP-POR-008-FE345-04260	0
HpGP-POR-012-Duplicated-1-FE349-01540	1
HpGP-POR-104-KVK84-04765	0
HpGP-PRI-007-KVK72-04495	0
HpGP-PRI-008-KVM94-06160	0
HpGP-RUS-001-KVJ59-06300	0
HpGP-RUS-004-KVL89-06015	0
HpGP-RUS-007-KVK68-04470	0
HpGP-RUS-010-KVL33-04340	1
HpGP-SGP-002-KVM14-01880	0
HpGP-SGP-003-KVJ95-04600	0
HpGP-SGP-004-KVK63-04440	0
HpGP-SGP-005-KVL39-04555	0
HpGP-SGP-006-KVK25-04520	0
HpGP-SGP-007-KVJ69-02345	0
HpGP-SGP-008-KVL01-04465	0
HpGP-SGP-009-KVM06-04595	0
HpGP-SGP-026-KVL54-01845	1
HpGP-SGP-032-KVM92-04740	1
HpGP-SGP-033-KVK12-04445	1
HpGP-SGP-036-KVM09-02355	1
HpGP-SGP-038-KVM93-02730	1
HpGP-SPA-002-E5L47-04180	0
HpGP-SPA-004-E5L48-04320	0
HpGP-SPA-011-E5L53-03335	1
HpGP-SPA-013-Duplicated-1-E5L55-04340	1
HpGP-SPA-014-E5L56-01785	1
HpGP-SPA-015-E5L57-04235	1
HpGP-SPA-016-E5L58-04945	1
HpGP-SPA-017-E5L64-04040	1
HpGP-SPA-019-Duplicated-1-FFR88-04525	1
HpGP-SPA-020-Duplicated-1-E5L59-01375	1
HpGP-SPA-102-KVM28-05985	0
HpGP-SPA-104-KVL45-01535	0
HpGP-SPA-107-KVJ78-04050	0
HpGP-SPA-110-KVJ65-05905	0
HpGP-SPA-202-KVK82-03705	0
HpGP-SPA-207-KVM32-04350	0
HpGP-SPA-306-Duplicated-1-KVM77-01535	0
HpGP-SPA-309-KVJ70-01955	0
HpGP-SPA-321-KVM52-04430	1
HpGP-SPA-322-KVJ99-04285	1
HpGP-SPA-323-Duplicated-1-KVL95-01600	1
HpGP-SPA-325-Duplicated-1-KVM87-01575	1
